card
mprA
csrA
galP_1_galP_2_galP
uppP
soxR
acrF_1_acrF_acrF_4_acrF_3_acrF_2_acrB_1_acrB_2
acrR_1_acrR_2
folA
leuO_2_leuO_1_leuO
phoB_2_phoP_1
rpoB
group_2533
maa_1_maa_maa_2
acrB_2
acrA
ybaL
kdpE
msbA_2
ompA_2
rstA
marA_1
marA_2
ompC_ompC_1_ompC_2
lolD_2_btuD_2_yknY
mdtC_1_mdtC_2_mdtC_3_mdtC
yeeO
glnQ_2_artM_2
sdiA_sdiA_2_sdiA_1
hns
mdtI
mdtG_sbnD
group_4229
typA
cpxA_cpxA_1
cpxR
eptB
dmlR_2_dmlR_8_dmlR_9
crp
yajC
group_2483
ampC_ampC_2_ampC_1_ampC_4
phoE_phoE_2_ompEA
hoxN
acrB_2_mdtF_acrB_1_mexB
ppsA_2_ppsA_1_ppsA
mdfA
creB_creB_1_creB_2
acrE_acrE_2
yojI_1_yojI_yojI_2
group_5615
yeeO_yeeO_1
group_5141
baeR_rssB_3
eptA_1_eptA
ompF
catM_2
oqxB9
group_2346
dapH
mdtK
group_5002
soxS
eptA_2_mcr91
group_7345
group_2847
hns_2
fosA_fosA_2_fosA_1_fosB
jefA
emrB
mdtB_1_mdtB_2_mdtB
ybhF
bepE_mdtB_1_mdtC_2_cnrA_acrF_2_mdtC_4_acrF_1_mdtB_2_acrF_3_mdtC_1_ttgE
ompC_2
aspS
pgrR_7
group_7897
group_4067
ydcF_ydcF_1_2*
stpA
rhaS_3
emrB_2_emrB_1
emrK
group_9709
nolA
emrA_3_emrA_2_emrA_1
macB_1_macB_2
folP_2
emrE_1
ant1
group_7418
tetA
eptA_2_eptA
group_5880
cusR
cusC
rob
mdtH_1_mdtH_2
tolC
mdtA_1_mdtA
rcsC_2_rcsC_1_rcsC
fsr
lptD
cusC_2
mdtN
group_9467
copR_1_copR
ompC_2_ompN
hprR_hprR_2_hprR_1
group_9733
ttuB_3
phoP_3
acrB_3
acrA_2_acrA_1
emrE
mdtJ
lpxD_3
acrR_1_slmA_1_acrR_3_acrR_2
