Bin,Continent,Location,Sample_type,Sample_type_specific
GCA_031190175.1_ASM3119017v1_genomic,Asia,China,Food,Food_Other
GCA_031190315.1_ASM3119031v1_genomic,Asia,China,Food,Food_Other
GCA_031190475.1_ASM3119047v1_genomic,Asia,China,Food,Food_Other
GCA_031190525.1_ASM3119052v1_genomic,Asia,China,Food,Food_Other
GCA_031213335.1_ASM3121333v1_genomic,Asia,China,Clinical,Clin_Other
GCA_032025785.1_ASM3202578v1_genomic,Asia,China,Environment,Env_Built
GCA_032025845.1_ASM3202584v1_genomic,Asia,China,Food,Food_Other
GCA_032025905.1_ASM3202590v1_genomic,Asia,China,Food,Food_Other
GCA_032025965.1_ASM3202596v1_genomic,Asia,China,Environment,Env_Built
GCA_032025985.1_ASM3202598v1_genomic,Asia,China,Clinical,Clin_Stool
GCA_032026005.1_ASM3202600v1_genomic,Asia,China,Food,Food_Other
GCA_032026085.1_ASM3202608v1_genomic,Asia,China,Food,Food_Other
GCA_032026125.1_ASM3202612v1_genomic,Asia,China,Food,Food_Other
GCA_032026185.1_ASM3202618v1_genomic,Asia,China,Environment,Env_Built
GCA_032026225.1_ASM3202622v1_genomic,Asia,China,Environment,Env_Built
GCA_032026325.1_ASM3202632v1_genomic,Asia,China,Environment,Env_Built
GCA_032026345.1_ASM3202634v1_genomic,Asia,China,Clinical,Clin_Stool
GCA_032026425.1_ASM3202642v1_genomic,Asia,China,Food,Food_Other
GCA_032026485.1_ASM3202648v1_genomic,Asia,China,Food,Food_Other
GCA_032026525.1_ASM3202652v1_genomic,Asia,China,Food,Food_Other
GCA_032026585.1_ASM3202658v1_genomic,Asia,China,Environment,Env_Built
GCA_032026625.1_ASM3202662v1_genomic,Asia,China,Environment,Env_Built
GCA_032026645.1_ASM3202664v1_genomic,Asia,China,Environment,Env_Built
GCA_032026765.1_ASM3202676v1_genomic,Asia,China,Food,Food_Other
GCA_032026785.1_ASM3202678v1_genomic,Asia,China,Clinical,Clin_Stool
GCA_032026805.1_ASM3202680v1_genomic,Asia,China,Food,Food_Other
GCA_032026845.1_ASM3202684v1_genomic,Asia,China,Food,Food_Other
GCA_032026885.1_ASM3202688v1_genomic,Asia,China,Environment,Env_Built
GCA_032026905.1_ASM3202690v1_genomic,Asia,China,Environment,Env_Built
GCA_032856305.1_PDT001946648.1_genomic,North_America,USA,Environment,Env_Built
GCA_032829975.1_PDT001946651.1_genomic,North_America,USA,Environment,Env_Built
GCA_032856075.1_PDT001946671.1_genomic,North_America,USA,Environment,Env_Built
GCA_032856065.1_PDT001946672.1_genomic,North_America,USA,Environment,Env_Built
GCA_032856045.1_PDT001946673.1_genomic,North_America,USA,Environment,Env_Built
GCA_032856005.1_PDT001946675.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855905.1_PDT001946680.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855865.1_PDT001946683.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855785.1_PDT001946684.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855765.1_PDT001946686.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855815.1_PDT001946687.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855745.1_PDT001946688.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855725.1_PDT001946689.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855675.1_PDT001946692.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855645.1_PDT001946693.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855505.1_PDT001946724.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855165.1_PDT001946743.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855105.1_PDT001946747.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855025.1_PDT001946751.1_genomic,North_America,USA,Environment,Env_Built
GCA_032855005.1_PDT001946752.1_genomic,North_America,USA,Environment,Env_Built
GCA_032854965.1_PDT001946755.1_genomic,North_America,USA,Environment,Env_Built
GCA_033053585.1_ASM3305358v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053605.1_ASM3305360v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053595.1_ASM3305359v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053835.1_ASM3305383v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053815.1_ASM3305381v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053885.1_ASM3305388v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053905.1_ASM3305390v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033053985.1_ASM3305398v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054025.1_ASM3305402v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054045.1_ASM3305404v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054075.1_ASM3305407v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054135.1_ASM3305413v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054105.1_ASM3305410v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054225.1_ASM3305422v1_genomic,Europe,Ireland,Environment,Env_FoodFacility
GCA_033054235.1_ASM3305423v1_genomic,Europe,Netherlands,Food,Food_Powdered
GCA_033445125.1_PDT001974185.1_genomic,North_America,USA,Environment,Env_Built
GCA_033445225.1_PDT001974190.1_genomic,North_America,USA,Environment,Env_Built
GCA_033795295.1_ASM3379529v1_genomic,Asia,China,Food,Food_Other
GCA_033798465.1_ASM3379846v1_genomic,Asia,China,Food,Food_Other
GCA_033798485.1_ASM3379848v1_genomic,Asia,China,Food,Food_Other
GCA_033798505.1_ASM3379850v1_genomic,Asia,China,Food,Food_Powdered
GCA_033896545.1_PDT001995369.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896495.1_PDT001995370.1_genomic,North_America,USA,Food,Food_Other
GCA_033896485.1_PDT001995372.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033897225.1_PDT001995373.1_genomic,North_America,USA,Food,Food_Other
GCA_033896445.1_PDT001995374.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896465.1_PDT001995375.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896425.1_PDT001995380.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897645.1_PDT001995381.1_genomic,North_America,USA,Food,Food_Other
GCA_033897665.1_PDT001995382.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896325.1_PDT001995392.1_genomic,North_America,USA,Environment,Env_Built
GCA_033897545.1_PDT001995397.1_genomic,North_America,USA,Environment,Env_FoodFacility
GCA_033897105.1_PDT001995398.1_genomic,North_America,USA,Environment,Env_Built
GCA_033897045.1_PDT001995405.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896985.1_PDT001995408.1_genomic,North_America,USA,Food,Food_Other
GCA_033896205.1_PDT001995409.1_genomic,North_America,USA,Food,Food_Other
GCA_033897505.1_PDT001995412.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896965.1_PDT001995413.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896165.1_PDT001995414.1_genomic,North_America,USA,Food,Food_Other
GCA_033896925.1_PDT001995415.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896945.1_PDT001995417.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896045.1_PDT001995419.1_genomic,North_America,USA,Food,Food_Other
GCA_033896865.1_PDT001995420.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896825.1_PDT001995422.1_genomic,North_America,USA,Food,Food_Other
GCA_033896125.1_PDT001995423.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896085.1_PDT001995424.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897465.1_PDT001995425.1_genomic,North_America,USA,Food,Food_Dry
GCA_033897395.1_PDT001995428.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896105.1_PDT001995429.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896805.1_PDT001995434.1_genomic,North_America,USA,Food,Food_Dry
GCA_033896745.1_PDT001995437.1_genomic,North_America,USA,Environment,Env_Built
GCA_033896785.1_PDT001995440.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947305.1_PDT001995849.1_genomic,North_America,USA,Food,Food_Dry
GCA_033947245.1_PDT001995851.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947265.1_PDT001995852.1_genomic,North_America,USA,Food,Food_Dry
GCA_033947185.1_PDT001995854.1_genomic,North_America,USA,Food,Food_Dry
GCA_033947145.1_PDT001995855.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947165.1_PDT001995856.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947125.1_PDT001995857.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947105.1_PDT001995858.1_genomic,North_America,USA,Food,Food_Other
GCA_033898285.1_PDT001995859.1_genomic,North_America,USA,Food,Food_Other
GCA_033947085.1_PDT001995860.1_genomic,North_America,USA,Environment,Env_Built
GCA_033898245.1_PDT001995861.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947065.1_PDT001995862.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947045.1_PDT001995864.1_genomic,North_America,USA,Environment,Env_Built
GCA_033947005.1_PDT001995865.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946985.1_PDT001995932.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946965.1_PDT001995933.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946845.1_PDT001995938.1_genomic,North_America,USA,Food,Food_Other
GCA_033946885.1_PDT001995939.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946805.1_PDT001995941.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946825.1_PDT001995942.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946765.1_PDT001995944.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946685.1_PDT001995948.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946665.1_PDT001995949.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946585.1_PDT001995951.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946625.1_PDT001995952.1_genomic,North_America,USA,Food,Food_Dry
GCA_033946605.1_PDT001995953.1_genomic,North_America,USA,Environment,Env_Built
GCA_033946565.1_PDT001995954.1_genomic,North_America,USA,Food,Food_Other
GCA_033945405.1_PDT001996025.1_genomic,North_America,USA,Food,Food_Other
GCA_033945165.1_PDT001996039.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945205.1_PDT001996040.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945185.1_PDT001996041.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945145.1_PDT001996042.1_genomic,North_America,USA,Environment,Env_Built
GCA_033945105.1_PDT001996045.1_genomic,North_America,USA,Food,Food_Dry
GCA_033945065.1_PDT001996048.1_genomic,North_America,USA,Food,Food_Other
