Bin,Continent,Location,Sample_type,Sample_type_specific
GCA_034513645.1_ASM3451364v1_genomic,Asia,Thailand,Clinical,Clin_Other
GCA_034835875.1_PDT002043339.1_genomic,North_America,USA,Food,Food_Other
GCA_034836775.1_PDT002043346.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034837175.1_PDT002043352.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034835835.1_PDT002043353.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034838535.1_PDT002043355.1_genomic,North_America,Dominican Republic,Food,Food_Powdered
GCA_034836675.1_PDT002043356.1_genomic,North_America,Dominican Republic,Food,Food_Powdered
GCA_034836655.1_PDT002043357.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034836615.1_PDT002043359.1_genomic,North_America,USA,Food,Food_Powdered
GCA_034838515.1_PDT002043360.1_genomic,North_America,USA,Food,Food_Powdered
